Name	InChIKey	SMILES	RT
Withanone	FAZIYUIDUNHZRG-UHFFFAOYNA-N	CC(C1CC(C)=C(C)C(=O)O1)C1(O)CCC2C3C4OC4C4(O)CC=CC(=O)C4(C)C3CCC12C	6.82
Corosolic acid	HFGSQOYIOKBQOW-UHFFFAOYNA-N	CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC34C)C2C1C)C(O)=O	9.89
Maslinic acid	MDZKJHQSJHYOHJ-UHFFFAOYNA-N	CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC34C)C2C1)C(O)=O	9.77
Soyasapogenol A	CDDWAYFUFNQLRZ-UHFFFAOYNA-N	CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(O)C1O	8.94
Ginsenoside Rh3	PHLXREOMFNVWOH-UHFFFAOYNA-N	CC(C)=CCC=C(C)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C	7.63
Ginsenoside compound K	FVIZARNDLVOMSU-UHFFFAOYNA-N	CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3CCC21C	9.51
Ginsenoside F1	XNGXWSFSJIQMNC-UHFFFAOYNA-N	CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(O)CC21C	6.59
alpha-Hederin	KEOITPILCOILGM-UHFFFAOYNA-N	CC1OC(OC2C(O)C(O)COC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(O)=O)C2(C)CO)C(O)C(O)C1O	7.96
Ginsenoside Rg5	NJUXRKMKOFXMRX-UHFFFAOYNA-N	CC(C)=CCC=C(C)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C	9.63
Ginsenoside F3	HJRVLGWTJSLQIG-UHFFFAOYNA-N	CC(C)=CCCC(C)(OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(O)CC21C	6.11
Ginsenoside Rb2	NODILNFGTFIURN-UHFFFAOYNA-N	CC(C)=CCCC(C)(OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C	6.14
Ginsenoside Rb1	GZYPWOGIYAIIPV-UHFFFAOYNA-N	CC(C)=CCCC(C)(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C	5.88
Saikosaponin D	KYWSCMDFVARMPN-UHFFFAOYNA-N	CC1OC(OC2CCC3(C)C(CCC4(C)C3C=CC35OCC6(CCC(C)(C)CC36)C(O)CC45C)C2(C)CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O	8.25
Licoricesaponin H2	LPLVUJXQOOQHMX-UHFFFAOYNA-N	CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OC(C(O)C(O)C1O)C(O)=O)C(O)=O	7.03
Saikosaponin C	PYJMYPPFWASOJX-UHFFFAOYNA-N	CC1OC(OC2C(COC3OC(CO)C(O)C(O)C3O)OC(OC3CCC4(C)C(CCC5(C)C4C=CC4=C6CC(C)(C)CCC6(CO)C(O)CC54C)C3(C)C)C(O)C2O)C(O)C(O)C1O	6.29
Ginsenoside Ro	NFZYDZXHKFHPGA-UHFFFAOYNA-N	CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O	6.18
Asiaticoside	WYQVAPGDARQUBT-UHFFFAOYNA-N	CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1C)C(=O)OC1OC(COC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O	5.21
Madecassoside	BNMGUJRJUUDLHW-UHFFFAOYNA-N	CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5C(O)CC34C)C2C1C)C(=O)OC1OC(COC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O	4.88
Chrysanthellin B	WNGIVKPPGCCJNP-UHFFFAOYNA-N	CC1OC(OC2C(O)COC(OC3C(C)OC(OC4C(O)C(O)COC4OC(=O)C45CCC(C)(C)CC4C4=CCC6C7(C)CCC(OC8OC(CO)C(O)C(O)C8O)C(C)(CO)C7CCC6(C)C4(C)CC5O)C(O)C3O)C2O)C(O)C(O)C1O	5.79
Hederacoside C	RYHDIBJJJRNDSX-UHFFFAOYNA-N	CC1OC(OC2C(O)C(O)C(OCC3OC(OC(=O)C45CCC(C)(C)CC4C4=CCC6C7(C)CCC(OC8OCC(O)C(O)C8OC8OC(C)C(O)C(O)C8O)C(C)(CO)C7CCC6(C)C4(C)CC5)C(O)C(O)C3O)OC2CO)C(O)C(O)C1O	5.38
Lyalosidic acid	UZLBTLIRYSYTRG-UHFFFAOYNA-N	OCC1OC(OC2OC=C(C(CC3=NC=CC4=C3NC3=C4C=CC=C3)C2C=C)C(O)=O)C(O)C(O)C1O	3.72
5(S)-5-carboxystrictosidine	LHKZIVMTXZLOTP-UHFFFAOYNA-N	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(C=C)C1CC1NC(CC2=C1NC1=C2C=CC=C1)C(O)=O	4.13
Thalsimine	YWNUNVSMOKMJMG-UHFFFAOYNA-N	COC1=CC=C2CC3N(C)CCC4=C3C(OC3=CC5=C(CCN=C5CC5=CC=C(OC1=C2)C=C5)C=C3OC)=C(OC)C(OC)=C4OC	4.25
Isohernandezine	FUZMQNZACIFDBL-UHFFFAOYNA-N	COC1=CC=C2CC3N(C)CCC4=C3C(OC3=CC5=C(CCN(C)C5CC5=CC=C(OC1=C2)C=C5)C=C3OC)=C(OC)C(OC)=C4OC	4.41
