Name	InChIKey	SMILES	RT
Withanone	FAZIYUIDUNHZRG-UHFFFAOYNA-N	CC(C1CC(C)=C(C)C(=O)O1)C1(O)CCC2C3C4OC4C4(O)CC=CC(=O)C4(C)C3CCC12C	6.82
Corosolic acid	HFGSQOYIOKBQOW-UHFFFAOYNA-N	CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC34C)C2C1C)C(O)=O	9.89
Maslinic acid	MDZKJHQSJHYOHJ-UHFFFAOYNA-N	CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC34C)C2C1)C(O)=O	9.77
Soyasapogenol A	CDDWAYFUFNQLRZ-UHFFFAOYNA-N	CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(O)C1O	8.94
Ginsenoside Rh3	PHLXREOMFNVWOH-UHFFFAOYNA-N	CC(C)=CCC=C(C)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C	7.63
Ginsenoside compound K	FVIZARNDLVOMSU-UHFFFAOYNA-N	CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3CCC21C	9.51
Ginsenoside F1	XNGXWSFSJIQMNC-UHFFFAOYNA-N	CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(O)CC21C	6.59
alpha-Hederin	KEOITPILCOILGM-UHFFFAOYNA-N	CC1OC(OC2C(O)C(O)COC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(O)=O)C2(C)CO)C(O)C(O)C1O	7.96
Ginsenoside Rg5	NJUXRKMKOFXMRX-UHFFFAOYNA-N	CC(C)=CCC=C(C)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C	9.63
Ginsenoside F3	HJRVLGWTJSLQIG-UHFFFAOYNA-N	CC(C)=CCCC(C)(OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(O)CC21C	6.11
Ginsenoside Rb2	NODILNFGTFIURN-UHFFFAOYNA-N	CC(C)=CCCC(C)(OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C	6.14
